"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 28, 2022","50.24","50.48","50.84","50.12","2.34M","0.32%"
"Jul 27, 2022","50.08","50.30","50.30","49.96","1.92M","-0.67%"
"Jul 26, 2022","50.42","49.98","50.56","49.98","2.30M","1.16%"
"Jul 25, 2022","49.84","50.16","50.16","49.74","2.31M","-1.23%"
"Jul 22, 2022","50.46","50.64","51.00","50.10","2.75M","0.32%"
"Jul 21, 2022","50.30","50.80","51.06","50.30","2.31M","-1.30%"
"Jul 20, 2022","50.96","51.38","51.50","50.96","2.24M","-0.08%"
"Jul 19, 2022","51.00","51.20","51.20","50.64","1.40M","-0.62%"
"Jul 18, 2022","51.32","50.20","51.50","50.20","2.81M","1.99%"
"Jul 15, 2022","50.32","52.16","52.16","50.32","6.31M","-2.56%"
"Jul 14, 2022","51.64","51.62","52.08","51.46","2.80M","0.04%"
"Jul 13, 2022","51.62","51.36","51.96","51.34","5.13M","0.51%"
"Jul 12, 2022","51.36","52.00","52.24","51.34","4.02M","-1.80%"
"Jul 11, 2022","52.30","53.32","53.32","52.02","4.25M","-1.91%"
"Jul 08, 2022","53.32","53.68","53.76","53.04","616.96K","0.23%"
"Jul 07, 2022","53.20","53.20","53.40","52.52","478.60K","0.34%"
"Jul 06, 2022","53.02","53.36","53.60","52.52","5.41M","-1.45%"
"Jul 05, 2022","53.80","54.00","54.40","53.24","2.72M","-0.37%"
"Jul 04, 2022","54.00","54.00","54.00","53.00","1.64M","0.00%"
"Jun 30, 2022","54.00","53.90","54.22","53.24","9.89M","-0.74%"
"Jun 29, 2022","54.40","53.98","54.40","52.94","4.27M","0.74%"
"Jun 28, 2022","54.00","53.28","54.32","52.92","2.65M","1.05%"
"Jun 27, 2022","53.44","53.24","53.84","53.22","5.51M","0.64%"
"Jun 24, 2022","53.10","52.36","53.10","52.20","1.59M","2.19%"
"Jun 23, 2022","51.96","50.86","52.10","50.86","2.57M","2.16%"
"Jun 22, 2022","50.86","52.40","52.40","50.86","2.38M","-2.98%"
"Jun 21, 2022","52.42","52.04","52.48","51.52","3.81M","0.61%"
"Jun 20, 2022","52.10","51.62","52.54","51.40","1.19M","1.05%"
"Jun 17, 2022","51.56","50.66","51.82","50.66","1.96M","1.78%"
"Jun 16, 2022","50.66","51.66","51.70","50.46","2.38M","-0.86%"
"Jun 15, 2022","51.10","50.22","52.04","50.22","4.65M","2.12%"
"Jun 14, 2022","50.04","49.20","50.46","48.80","1.75M","1.09%"
"Jun 13, 2022","49.50","50.56","50.56","49.36","3.58M","-2.10%"
"Jun 10, 2022","50.56","49.68","51.04","49.68","3.67M","0.56%"
"Jun 09, 2022","50.28","50.50","50.60","50.00","6.55M","-0.44%"
"Jun 08, 2022","50.50","50.34","50.80","49.94","4.02M","0.48%"
"Jun 07, 2022","50.26","50.30","50.48","49.80","5.55M","-0.12%"
"Jun 06, 2022","50.32","49.30","50.38","48.84","1.49M","2.07%"
"Jun 02, 2022","49.30","49.40","49.40","48.38","4.23M","1.27%"
"Jun 01, 2022","48.68","49.10","49.50","48.46","3.82M","-0.86%"
"May 31, 2022","49.10","48.30","49.28","48.06","4.26M","1.66%"
"May 30, 2022","48.30","47.98","48.48","47.88","2.11M","1.64%"
"May 27, 2022","47.52","47.50","47.98","47.24","2.18M","0.04%"
"May 26, 2022","47.50","47.66","47.76","46.76","2.38M","0.00%"
"May 25, 2022","47.50","47.50","47.70","47.28","3.25M","0.00%"
"May 24, 2022","47.50","48.52","48.56","47.30","4.57M","-1.82%"
"May 23, 2022","48.38","49.00","49.00","48.00","3.57M","-0.94%"
"May 20, 2022","48.84","47.48","48.94","47.48","3.65M","3.74%"
"May 19, 2022","47.08","46.52","47.10","46.44","1.65M","0.17%"
"May 18, 2022","47.00","47.40","47.50","46.80","1.62M","-0.51%"
"May 17, 2022","47.24","46.60","47.32","46.60","1.71M","2.07%"
"May 16, 2022","46.28","47.08","47.36","46.28","1.68M","-1.41%"
"May 13, 2022","46.94","46.94","46.98","46.44","3.54M","1.25%"
"May 12, 2022","46.36","46.82","47.08","46.28","1.93M","-1.28%"
"May 11, 2022","46.96","46.46","47.84","46.38","3.14M","1.51%"
"May 10, 2022","46.26","45.96","46.76","44.90","6.72M","-0.30%"
