"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2019","358.25","358.25","360.00","356.75","148.18K","-0.21%"
"04/16/2019","359.00","362.50","362.50","357.25","192.35K","-1.03%"
"04/15/2019","362.75","361.25","364.25","361.00","208.54K","0.48%"
"04/12/2019","361.00","360.25","361.50","358.50","95.87K","0.28%"
"04/11/2019","360.00","361.25","363.00","358.50","264.73K","-0.48%"
"04/10/2019","361.75","360.25","362.75","360.00","253.30K","0.49%"
"04/09/2019","360.00","359.75","362.25","355.25","275.45K","0.00%"
"04/08/2019","360.00","362.25","363.50","359.50","269.56K","-0.69%"
"04/05/2019","362.50","364.50","364.75","360.50","273.06K","-0.75%"
"04/04/2019","365.25","362.75","366.25","362.75","159.33K","0.69%"
"04/03/2019","362.75","361.25","364.75","360.50","135.85K","0.35%"
"04/02/2019","361.50","362.25","363.50","359.25","117.19K","-0.07%"
"04/01/2019","361.75","356.50","363.00","356.50","239.35K","1.47%"
"03/29/2019","356.50","373.75","375.00","356.00","441.01K","-4.68%"
"03/28/2019","374.00","373.75","374.75","372.00","105.83K","0.07%"
"03/27/2019","373.75","376.75","377.00","372.00","127.92K","-0.93%"
"03/26/2019","377.25","379.25","380.50","375.50","165.18K","-0.66%"
"03/25/2019","379.75","378.75","380.75","376.75","155.85K","0.40%"
"03/22/2019","378.25","375.75","380.75","375.50","222.58K","0.53%"
"03/21/2019","376.25","371.00","377.50","370.50","220.23K","1.28%"
"03/20/2019","371.50","371.50","372.50","368.75","101.48K","0.07%"
"03/19/2019","371.25","372.00","373.75","367.75","159.38K","-0.07%"
"03/18/2019","371.50","374.00","375.50","370.25","169.24K","-0.47%"
"03/15/2019","373.25","369.25","373.75","369.00","197.27K","3.25%"
"03/14/2019","361.50","360.25","363.25","360.00","0.39K","1.19%"
"03/13/2019","357.25","357.25","359.50","355.00","0.32K","0.21%"
"03/12/2019","356.50","353.25","357.75","352.75","0.80K","1.13%"
"03/11/2019","352.50","357.50","357.50","353.00","1.75K","-0.63%"
"03/08/2019","354.75","357.75","358.25","354.00","2.27K","-0.35%"
"03/07/2019","356.00","362.25","362.25","355.75","2.48K","-1.79%"
"03/06/2019","362.50","366.00","366.00","361.00","2.92K","-0.96%"
"03/05/2019","366.00","366.00","367.25","364.50","4.57K","0.27%"
"03/04/2019","365.00","365.25","368.00","364.50","5.27K","0.27%"
"03/01/2019","364.00","361.75","364.00","357.50","12.36K","0.55%"
"02/28/2019","362.00","363.75","364.75","361.25","23.51K","-0.48%"
"02/27/2019","363.75","366.00","368.25","362.50","189.22K","-0.68%"
"02/26/2019","366.25","370.75","371.25","365.50","242.77K","-1.15%"
"02/25/2019","370.50","377.75","378.50","370.00","344.71K","-1.27%"
"02/22/2019","375.25","374.75","377.75","374.50","316.66K","-0.07%"
"02/21/2019","375.50","371.00","378.50","370.50","257.19K","1.28%"
"02/20/2019","370.75","371.50","373.50","368.50","310.67K","0.27%"
"02/19/2019","369.75","374.25","376.25","369.00","230.71K","-1.40%"
"02/18/2019","375.00","374.75","375.00","374.75","","0.07%"
"02/17/2019","374.75","374.75","374.75","374.75","","0.00%"
"02/15/2019","374.75","374.75","376.50","373.00","209.10K","0.00%"
"02/14/2019","374.75","378.75","379.00","374.00","225.29K","-1.06%"
"02/13/2019","378.75","377.50","379.00","376.25","243.88K","0.13%"
"02/12/2019","378.25","373.50","378.75","373.00","291.26K","1.48%"
"02/11/2019","372.75","374.50","375.00","371.75","309.36K","-0.40%"
"02/08/2019","374.25","376.50","381.75","374.00","340.78K","-0.60%"
"02/07/2019","376.50","379.75","380.25","376.25","259.74K","-0.92%"
"02/06/2019","380.00","380.50","380.75","379.00","145.15K","-0.20%"
"02/05/2019","380.75","379.50","381.25","377.00","171.95K","0.40%"
"02/04/2019","379.25","377.75","379.75","376.50","145.83K","0.26%"
"02/01/2019","378.25","376.50","380.75","376.50","151.47K","0.46%"
